EmbedOR (ORC),trial 1,trial 2,trial 3,% time taken (avg),,EmbedOR (Euclidean),trial 1,trial 2,trial 3,% time taken (avg),
build_nnG,2.26723361,1.186708212,1.21981144,2.09%,,build_nnG,1.303246737,1.576779127,1.372510433,3.82%,
compute_curvatures,27.62417221,38.94511557,40.79408097,48.07%,,compute_curvatures,0.6478478909,0.7006466389,0.7104783058,1.85%,
compute_distances,3.297483921,3.522796154,5.776571989,5.64%,,compute_distances,2.980334282,3.067995548,3.361923933,8.45%,
compute_affinities,7.566422701,7.158955097,6.097857475,9.32%,,compute_affinities,6.799920797,8.85376668,6.275089264,19.68%,
update_G,0.05146098137,0.04944443703,0.05378603935,0.07%,,update_G,0.05828619003,0.05186510086,0.06718850136,0.16%,
init_embedding,0.2850096226,0.3150713444,0.2543516159,0.38%,,init_embedding,0.2702565193,0.190823555,0.1853997707,0.58%,
layout,23.41120172,26.29388785,27.19109201,34.43%,,layout,23.54154205,22.87588,26.50879908,65.46%,
total,64.50298477,77.47197866,81.38755154,100.00%,,total,35.60143447,37.31775665,38.48138929,100.00%,
